scenario,profile,method,ticker,weight
confidence_scale_0.6,Market_Balanced,MeanVariance,VAS.AX,0.0
confidence_scale_0.6,Market_Balanced,MeanVariance,VSO.AX,0.06927802884239428
confidence_scale_0.6,Market_Balanced,MeanVariance,VHY.AX,0.13434021549848343
confidence_scale_0.6,Market_Balanced,MeanVariance,VAP.AX,0.04381963440522044
confidence_scale_0.6,Market_Balanced,MeanVariance,VGS.AX,0.3
confidence_scale_0.6,Market_Balanced,MeanVariance,VGAD.AX,0.24898555415230733
confidence_scale_0.6,Market_Balanced,MeanVariance,VGE.AX,0.040725078471891524
confidence_scale_0.6,Market_Balanced,MeanVariance,VAF.AX,0.09999999999999995
confidence_scale_0.6,Market_Balanced,MeanVariance,VBND.AX,0.0
confidence_scale_0.6,Market_Balanced,MeanVariance,QAU.AX,0.06285148862970312
confidence_scale_0.6,Market_Balanced,MaxSharpe,VAS.AX,0.0
confidence_scale_0.6,Market_Balanced,MaxSharpe,VSO.AX,0.0195950198525429
confidence_scale_0.6,Market_Balanced,MaxSharpe,VHY.AX,0.13316749527105345
confidence_scale_0.6,Market_Balanced,MaxSharpe,VAP.AX,0.018194911830487125
confidence_scale_0.6,Market_Balanced,MaxSharpe,VGS.AX,0.3
confidence_scale_0.6,Market_Balanced,MaxSharpe,VGAD.AX,0.11303803616214943
confidence_scale_0.6,Market_Balanced,MaxSharpe,VGE.AX,0.06129195362172405
confidence_scale_0.6,Market_Balanced,MaxSharpe,VAF.AX,0.18582442385905742
confidence_scale_0.6,Market_Balanced,MaxSharpe,VBND.AX,0.07773660359375946
confidence_scale_0.6,Market_Balanced,MaxSharpe,QAU.AX,0.09115155580922614
confidence_scale_0.6,Kelly_Growth,MeanVariance,VAS.AX,0.0
confidence_scale_0.6,Kelly_Growth,MeanVariance,VSO.AX,0.1
confidence_scale_0.6,Kelly_Growth,MeanVariance,VHY.AX,0.10155307485855855
confidence_scale_0.6,Kelly_Growth,MeanVariance,VAP.AX,0.07370696859553523
confidence_scale_0.6,Kelly_Growth,MeanVariance,VGS.AX,0.3
