scenario,profile,method,expected_excess_return,expected_volatility,expected_sharpe,historical_annual_return,historical_annual_volatility,historical_max_drawdown
confidence_scale_0.6,Trustee_Conservative,MaxSharpe,0.04052710041582697,0.07674524915156422,0.5280730841825789,0.09576607019468787,0.0791280244720977,-0.18898155037159814
confidence_scale_0.6,Market_Balanced,MeanVariance,0.046364007411146484,0.11357320650403761,0.40823015250078554,0.12687218143600085,0.11765392553852148,-0.27873277980676203
confidence_scale_0.6,Market_Balanced,MaxSharpe,0.03549916019347227,0.08570870180343315,0.414183851190362,0.10639324183502252,0.08856899573712304,-0.21146725575358427
confidence_scale_0.6,Kelly_Growth,MeanVariance,0.0328037764096937,0.12804011183884614,0.25619921709363386,0.1298708683841553,0.13271887457044226,-0.3120870142691602
confidence_scale_0.6,Kelly_Growth,MaxSharpe,0.021314233446783466,0.07816820083167442,0.2726714088338945,0.10016999542446023,0.08053221880781795,-0.18276321839921494
confidence_scale_1.0,Trustee_Conservative,MeanVariance,0.05053309766228506,0.08859130099108499,0.5704069936547184,0.10941311541280822,0.09145804632672139,-0.21510543176975172
confidence_scale_1.0,Trustee_Conservative,MaxSharpe,0.04275014658938535,0.07445325903484601,0.5741877137893614,0.09543520986617335,0.07662405961624412,-0.17775646520885302
confidence_scale_1.0,Market_Balanced,MeanVariance,0.05486693950783243,0.11587837589675949,0.4734873015196166,0.12910737599819483,0.11980632568265512,-0.2782819490548306
confidence_scale_1.0,Market_Balanced,MaxSharpe,0.03921482055532433,0.08049796483055878,0.4871529440262014,0.10302916572206404,0.0829674674676413,-0.19237311768894516
confidence_scale_1.0,Kelly_Growth,MeanVariance,0.04593710554643087,0.13054030987257945,0.3518997740335544,0.13197830850316605,0.1352668895454906,-0.3215973626618168
confidence_scale_1.0,Kelly_Growth,MaxSharpe,0.029268328241792922,0.07612352179934319,0.3844846842339007,0.09806904246472808,0.07838258295319424,-0.17780840172192403
confidence_scale_1.4,Trustee_Conservative,MeanVariance,0.05546430015875101,0.09039647214846884,0.6135670877471349,0.11127159128585025,0.09323327853952491,-0.21464040750765212
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,0.04505084432236888,0.0725887305682695,0.6206313840961675,0.09412375782620694,0.07461795172274556,-0.16937127809440944
confidence_scale_1.4,Market_Balanced,MeanVariance,0.06290688933663094,0.11598119337043748,0.5423887055180561,0.12992305698508833,0.11987698416303869,-0.27818057352657677
confidence_scale_1.4,Market_Balanced,MaxSharpe,0.04398899588888136,0.07813357215358702,0.562997373298283,0.10056350648299507,0.08048203535070986,-0.18534638698383055
confidence_scale_1.4,Kelly_Growth,MeanVariance,0.059888676661857536,0.13077945421873058,0.4579364321378252,0.13218156680229987,0.13550445761165963,-0.3223450355068713
confidence_scale_1.4,Kelly_Growth,MaxSharpe,0.038145580213036295,0.07591600248504503,0.5024708752354384,0.09823010689076611,0.07815990551660049,-0.17949203647689072
shrinkage_0.0,Trustee_Conservative,MeanVariance,0.05142187883757434,0.09035891352534273,0.5690847403023741,0.1096079764195004,0.09037505895736402,-0.20397339317924745
shrinkage_0.0,Trustee_Conservative,MaxSharpe,0.044967910461287085,0.07874233645311973,0.5710766594798633,0.09790537201029689,0.07876076336049209,-0.17772591336660537
shrinkage_0.0,Market_Balanced,MeanVariance,0.0560565848466978,0.11705122065625269,0.47890645251210673,0.12885495152580825,0.1170623109913121,-0.2682568744335879
shrinkage_0.0,Market_Balanced,MaxSharpe,0.043739488786823634,0.08994757731375753,0.48627756403321887,0.10968927361341939,0.08996433713804085,-0.2033062843287322
shrinkage_0.0,Kelly_Growth,MeanVariance,0.04727762448957437,0.13088883673873494,0.3612044057198282,0.1310912107365184,0.13089593209101255,-0.30463382495482894
shrinkage_0.0,Kelly_Growth,MaxSharpe,0.03362268077871546,0.08771104105072938,0.3833346449424666,0.10656829181816298,0.0877295009323912,-0.1928282918227221
shrinkage_0.1,Trustee_Conservative,MeanVariance,0.05053309766228506,0.08859130099108499,0.5704069936547184,0.10941311541280822,0.09145804632672139,-0.21510543176975172
shrinkage_0.1,Trustee_Conservative,MaxSharpe,0.04275014658938535,0.07445325903484601,0.5741877137893614,0.09543520986617335,0.07662405961624412,-0.17775646520885302
shrinkage_0.1,Market_Balanced,MeanVariance,0.05486693950783243,0.11587837589675949,0.4734873015196166,0.12910737599819483,0.11980632568265512,-0.2782819490548306
shrinkage_0.1,Market_Balanced,MaxSharpe,0.03921482055532433,0.08049796483055878,0.4871529440262014,0.10302916572206404,0.0829674674676413,-0.19237311768894516
shrinkage_0.1,Kelly_Growth,MeanVariance,0.04593710554643087,0.13054030987257945,0.3518997740335544,0.13197830850316605,0.1352668895454906,-0.3215973626618168
shrinkage_0.1,Kelly_Growth,MaxSharpe,0.029268328241792922,0.07612352179934319,0.3844846842339007,0.09806904246472808,0.07838258295319424,-0.17780840172192403
shrinkage_0.3,Trustee_Conservative,MeanVariance,0.0465088817727879,0.0830247855643502,0.5601806913038054,0.10897443074536722,0.09245526753844621,-0.222908651287821
shrinkage_0.3,Trustee_Conservative,MaxSharpe,0.03995554055325317,0.07076953268415069,0.5645867513577842,0.09578536014431605,0.07787248521184274,-0.18496039124182306
shrinkage_0.3,Market_Balanced,MeanVariance,0.04823977265789989,0.10443647195085716,0.4619054220885519,0.12766775494555774,0.11701828036432789,-0.27996554100576376
shrinkage_0.3,Market_Balanced,MaxSharpe,0.035257091753354855,0.07365091998674933,0.4787053815444264,0.09992415435494302,0.08145100994545754,-0.19494284961555297
shrinkage_0.3,Kelly_Growth,MeanVariance,0.04038974015248539,0.11940685218549103,0.33825311875521574,0.1324642382746517,0.13391707625131907,-0.31857231053950574
shrinkage_0.3,Kelly_Growth,MaxSharpe,0.025490106188757564,0.06714335701081393,0.3796370530691844,0.09275383152533105,0.07338049273349222,-0.17022385737597912
