scenario,profile,ticker,posterior_return
confidence_scale_1.4,Kelly_Growth,VGE.AX,0.04185115420783906
confidence_scale_1.4,Kelly_Growth,VAF.AX,0.0038079302515938458
confidence_scale_1.4,Kelly_Growth,VBND.AX,0.0037176845685536484
confidence_scale_1.4,Kelly_Growth,QAU.AX,0.03028752552823177
shrinkage_0.0,Trustee_Conservative,VAS.AX,0.060813139346554995
shrinkage_0.0,Trustee_Conservative,VSO.AX,0.07477605831903061
shrinkage_0.0,Trustee_Conservative,VHY.AX,0.06311778833028832
shrinkage_0.0,Trustee_Conservative,VAP.AX,0.07912416484218662
shrinkage_0.0,Trustee_Conservative,VGS.AX,0.06898503251367018
shrinkage_0.0,Trustee_Conservative,VGAD.AX,0.0905306534310605
shrinkage_0.0,Trustee_Conservative,VGE.AX,0.050061797725253224
shrinkage_0.0,Trustee_Conservative,VAF.AX,0.008355764416458977
shrinkage_0.0,Trustee_Conservative,VBND.AX,0.008028471228347999
shrinkage_0.0,Trustee_Conservative,QAU.AX,0.02908951972256223
shrinkage_0.0,Market_Balanced,VAS.AX,0.051039099261916264
shrinkage_0.0,Market_Balanced,VSO.AX,0.06295610142527133
shrinkage_0.0,Market_Balanced,VHY.AX,0.05382488750597863
shrinkage_0.0,Market_Balanced,VAP.AX,0.06329389049586724
shrinkage_0.0,Market_Balanced,VGS.AX,0.061332934863813464
shrinkage_0.0,Market_Balanced,VGAD.AX,0.07753330854435861
shrinkage_0.0,Market_Balanced,VGE.AX,0.04489001223701844
shrinkage_0.0,Market_Balanced,VAF.AX,0.0043854711921166595
shrinkage_0.0,Market_Balanced,VBND.AX,0.004025501214242029
shrinkage_0.0,Market_Balanced,QAU.AX,0.023493913502858642
shrinkage_0.0,Kelly_Growth,VAS.AX,0.03585481630977506
shrinkage_0.0,Kelly_Growth,VSO.AX,0.04536048692228329
shrinkage_0.0,Kelly_Growth,VHY.AX,0.03913936950082785
shrinkage_0.0,Kelly_Growth,VAP.AX,0.04315007667008007
shrinkage_0.0,Kelly_Growth,VGS.AX,0.050071693013729025
shrinkage_0.0,Kelly_Growth,VGAD.AX,0.05991880739349972
shrinkage_0.0,Kelly_Growth,VGE.AX,0.03558013362082702
shrinkage_0.0,Kelly_Growth,VAF.AX,0.0027752435425409602
shrinkage_0.0,Kelly_Growth,VBND.AX,0.0022292011168169807
shrinkage_0.0,Kelly_Growth,QAU.AX,0.019859107719773922
shrinkage_0.1,Trustee_Conservative,VAS.AX,0.058400069925670414
shrinkage_0.1,Trustee_Conservative,VSO.AX,0.07321595301439374
shrinkage_0.1,Trustee_Conservative,VHY.AX,0.06110665859394818
shrinkage_0.1,Trustee_Conservative,VAP.AX,0.07792099640385967
shrinkage_0.1,Trustee_Conservative,VGS.AX,0.06795731355057638
shrinkage_0.1,Trustee_Conservative,VGAD.AX,0.08551653235007634
shrinkage_0.1,Trustee_Conservative,VGE.AX,0.04626612942798898
shrinkage_0.1,Trustee_Conservative,VAF.AX,0.008384600840433997
shrinkage_0.1,Trustee_Conservative,VBND.AX,0.008416914504136126
shrinkage_0.1,Trustee_Conservative,QAU.AX,0.030330100294635898
shrinkage_0.1,Market_Balanced,VAS.AX,0.04897256588987695
shrinkage_0.1,Market_Balanced,VSO.AX,0.061871637719985974
shrinkage_0.1,Market_Balanced,VHY.AX,0.05193411690786965
shrinkage_0.1,Market_Balanced,VAP.AX,0.06271451308827078
shrinkage_0.1,Market_Balanced,VGS.AX,0.060682249118117655
shrinkage_0.1,Market_Balanced,VGAD.AX,0.07231088439178966
shrinkage_0.1,Market_Balanced,VGE.AX,0.041382679715278835
shrinkage_0.1,Market_Balanced,VAF.AX,0.004482753946792384
shrinkage_0.1,Market_Balanced,VBND.AX,0.004521282100513613
shrinkage_0.1,Market_Balanced,QAU.AX,0.024923547883191823
shrinkage_0.1,Kelly_Growth,VAS.AX,0.034137331459499876
shrinkage_0.1,Kelly_Growth,VSO.AX,0.04483678138135126
shrinkage_0.1,Kelly_Growth,VHY.AX,0.037636997454363295
shrinkage_0.1,Kelly_Growth,VAP.AX,0.04309891530139988
shrinkage_0.1,Kelly_Growth,VGS.AX,0.04997729888006683
shrinkage_0.1,Kelly_Growth,VGAD.AX,0.05499748346273296
shrinkage_0.1,Kelly_Growth,VGE.AX,0.0325012170644741
shrinkage_0.1,Kelly_Growth,VAF.AX,0.0029112617846472726
shrinkage_0.1,Kelly_Growth,VBND.AX,0.002769613992303301
shrinkage_0.1,Kelly_Growth,QAU.AX,0.021373442684660772
shrinkage_0.3,Trustee_Conservative,VAS.AX,0.05227084024930695
shrinkage_0.3,Trustee_Conservative,VSO.AX,0.06319813816605384
shrinkage_0.3,Trustee_Conservative,VHY.AX,0.054567023231951256
shrinkage_0.3,Trustee_Conservative,VAP.AX,0.06805631004321196
shrinkage_0.3,Trustee_Conservative,VGS.AX,0.06474173551635856
shrinkage_0.3,Trustee_Conservative,VGAD.AX,0.07401319347070709
shrinkage_0.3,Trustee_Conservative,VGE.AX,0.03825131271285677
shrinkage_0.3,Trustee_Conservative,VAF.AX,0.007560881091589677
