portfolio,profile,view_scenario,method,ticker,risk_contribution
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VGS.AX,0.3863260459876485
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VGAD.AX,0.15494931606761614
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VGE.AX,0.04835373436853532
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VAF.AX,0.022104801389443242
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VBND.AX,0.01346855033998628
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,QAU.AX,0.057242443607614726
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VAS.AX,0.0
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VSO.AX,0.0
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VHY.AX,0.18690590364328702
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VAP.AX,0.03683755899102366
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VGS.AX,0.3606970695772223
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VGAD.AX,0.3050705948894019
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VGE.AX,0.08340716352769631
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VAF.AX,0.022743923262240753
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,VBND.AX,0.00034840930149301614
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,QAU.AX,0.003989376807635015
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VAS.AX,0.0
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VSO.AX,0.0
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VHY.AX,0.18254121369799403
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VAP.AX,0.02085417145219116
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VGS.AX,0.4131423529762035
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VGAD.AX,0.25481248710160637
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VGE.AX,0.07934523046978041
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VAF.AX,0.03582534057808945
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,VBND.AX,0.008154481540358888
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,QAU.AX,0.005324722183776144
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VAS.AX,0.0
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VSO.AX,0.08029454446800816
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VHY.AX,0.10922474240862935
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VAP.AX,0.03937588919869496
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VGS.AX,0.2956902271093269
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VGAD.AX,0.43109699941733703
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VGE.AX,0.01662227497669713
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VAF.AX,0.007389757432181195
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,VBND.AX,0.0
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,QAU.AX,0.020305564989125214
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VAS.AX,0.0
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VSO.AX,0.0
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VHY.AX,0.16787682215402122
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VAP.AX,0.0030489992897432434
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VGS.AX,0.43007561628181634
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VGAD.AX,0.2144438002950966
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VGE.AX,0.06877246511385755
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VAF.AX,0.03754123169765926
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,VBND.AX,0.013686398959951197
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,QAU.AX,0.06455466620785454
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VAS.AX,0.3257836979335837
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VSO.AX,0.07086817228900122
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VHY.AX,0.058173526349683105
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VAP.AX,0.07487193107649978
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VGS.AX,0.25797927713237667
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VGAD.AX,0.1416161793564824
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VGE.AX,0.039992974465686906
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VAF.AX,0.009645225155120134
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,VBND.AX,0.0057461655397451385
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,QAU.AX,0.015322850701821055
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VAS.AX,0.16245709531776464
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VSO.AX,0.11137034865243574
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VHY.AX,0.0
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VAP.AX,0.0957516351531451
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VGS.AX,0.2566147427190217
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VGAD.AX,0.3703057896467259
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VGE.AX,0.0
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VAF.AX,0.0007969481533863439
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,VBND.AX,0.0027034403575204977
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,QAU.AX,0.0
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VAS.AX,0.09706546691969778
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VSO.AX,0.024718793639152695
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VHY.AX,0.034364153481943265
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VAP.AX,0.0
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VGS.AX,0.44434418010853016
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VGAD.AX,0.18366283198091823
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VGE.AX,0.08235501982285219
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VAF.AX,0.03968187027653337
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,VBND.AX,0.0230067083258495
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,QAU.AX,0.07080097544452321
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VAS.AX,0.0
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VSO.AX,0.0
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VHY.AX,0.04314846026538843
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VAP.AX,0.0
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VGS.AX,0.34260253617628006
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VGAD.AX,0.39530862090147184
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VGE.AX,0.20226641733770898
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VAF.AX,0.016673965319150497
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,VBND.AX,0.0
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,QAU.AX,0.0
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VAS.AX,0.0
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VSO.AX,0.0
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VHY.AX,0.04465300528307614
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VAP.AX,0.0
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VGS.AX,0.438820179293014
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VGAD.AX,0.2731924029032333
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VGE.AX,0.18628356282372552
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VAF.AX,0.04811661482539194
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,VBND.AX,0.00893423487155906
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,QAU.AX,0.0
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VAS.AX,0.0
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VSO.AX,0.11153376099445192
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VHY.AX,0.14950815491869415
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VAP.AX,0.09598108190655445
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VGS.AX,0.26043438458412455
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VGAD.AX,0.37598733776114796
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VGE.AX,0.003656318332590441
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VAF.AX,0.0028989615024364954
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,VBND.AX,0.0
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,QAU.AX,0.0
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VAS.AX,0.0
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VSO.AX,0.0
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VHY.AX,0.12004633510939462
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VAP.AX,0.0
