,Trustee_Conservative_Benchmark,Trustee_Conservative_EqualWeight,Trustee_Conservative_MeanVariance,Trustee_Conservative_MaxSharpe,Market_Balanced_Benchmark,Market_Balanced_EqualWeight,Market_Balanced_MeanVariance,Market_Balanced_MaxSharpe,Kelly_Growth_Benchmark,Kelly_Growth_EqualWeight,Kelly_Growth_MeanVariance,Kelly_Growth_MaxSharpe
2025-10-21,0.007948759398043626,0.009528166097755086,0.009113587119319977,0.008827779617290199,0.009162684233857687,0.009528166097755086,0.009446833844317215,0.009347694671667517,0.00982981101510405,0.009528166097755086,0.008861123686134675,0.009306446044862637
2025-10-22,-0.007829967278552785,-0.012201676527520577,-0.008706259235658043,-0.008743770907301607,-0.00940074853079953,-0.012201676527520577,-0.007626114573715093,-0.008998230172214794,-0.01011207286855409,-0.012201676527520577,-0.005872975244996748,-0.009071628148531463
2025-10-23,-0.0015494407617387962,-0.0011904664418991295,-0.0031479616814230615,-0.0029530730939357763,-0.0013921358211903545,-0.0011904664418991295,-0.0028281738069955153,-0.003177161313302701,-0.00159560959860916,-0.0011904664418991295,-0.0015016756294027322,-0.003273096999868552
2025-10-27,0.010704915323336062,0.012860472284443203,0.013035736228093064,0.011243657500861204,0.013415065751449573,0.012860472284443203,0.016599284067200237,0.012480744009984113,0.015038108631647118,0.012860472284443203,0.017864152215408602,0.012486593380036659
2025-10-28,0.0015109977323990442,-0.001438518820676804,0.0019883812330598882,0.0014797074195089799,-4.928307248586172e-05,-0.001438518820676804,0.0023646897591211857,0.001093031780913245,-0.0013607008542781962,-0.001438518820676804,0.00333804804198512,0.0006749883516794508
2025-10-29,0.0010002950906218278,0.000239847933876991,0.0016093113007173976,0.0016061535730838017,7.700565683199656e-05,0.000239847933876991,0.002130677468758835,0.0015702287302712392,0.0002182654906257575,0.000239847933876991,0.0014685900267561447,0.0017478125684651236
2025-10-30,-0.004356648191367607,-0.005049349953997639,-0.0033114707721231262,-0.0029007608567672705,-0.004734449109775385,-0.005049349953997639,-0.003928816477542507,-0.002730228924866074,-0.004464175784826274,-0.005049349953997639,-0.005317977509558536,-0.002645777405744121
2025-10-31,-0.0014383321374634717,-0.0012403849145602441,-0.000826991652731035,-0.00079624582182658,-0.0011527055218106819,-0.0012403849145602441,-0.0009796147913634368,-0.0008618841121087462,-0.0008680221681995892,-0.0012403849145602441,-0.0012082133265810535,-0.0008740516398224596
2025-11-03,-0.0033795262573977913,-0.003640900245362455,-0.0029479766243156735,-0.003012542137324159,-0.0035371408217330647,-0.003640900245362455,-0.003716440564906054,-0.002989484686317545,-0.0040344125893453375,-0.003640900245362455,-0.0040054989990343515,-0.003184920733844354
2025-11-04,-0.004290461635107823,-0.005890809679004905,-0.004499925404154115,-0.003900415495289078,-0.005774093067033581,-0.005890809679004905,-0.005322440410801321,-0.00424803961897513,-0.00586162927665701,-0.005890809679004905,-0.006025383013989027,-0.0039200952402906886
